	latitude	longitude
0	45.57087299999998	-73.63287300000002
1	45.58662600000001	-73.597534
2	45.569048000000066	-73.63539700000001
3	45.565422000000005	-73.60729399999998
4	45.57765600000006	-73.609994
5	45.574599000000006	-73.60965600000002
6	45.54374400000001	-73.613808
7	45.56322999999996	-73.62346800000002
8	45.563062000000016	-73.61742999999998
9	45.559727	-73.600007
10	45.563032	-73.629919
11	45.57387799999998	-73.621808
12	45.568360999999996	-73.63616400000001
13	45.567944000000026	-73.636894
14	45.56788399999999	-73.63646500000002
15	45.577594999999995	-73.610408
16	45.57050000000001	-73.614234
17	45.57808899999999	-73.613815
18	45.577462000000004	-73.60989
