	latitude	longitude
0	45.57724200000003	-73.61148899999999
1	45.57757000000002	-73.609758
2	45.57676700000003	-73.608227
3	45.578193999999996	-73.61313
4	45.54905399999999	-73.622964
5	45.56124000000003	-73.63531
6	45.563072	-73.63912900000001
7	45.56807500000001	-73.635911
8	45.57753700000002	-73.609463
9	45.576147999999996	-73.606352
10	45.578046	-73.611243
11	45.577994	-73.610364
12	45.574823	-73.60381599999998
13	45.57204099999997	-73.60219599999999
14	45.562972999999985	-73.63880500000002
15	45.5679	-73.63653
16	45.57638100000003	-73.60931300000001
17	45.57730800000001	-73.609356
