	latitude	longitude
0	45.538765999999995	-73.63336000000002
1	45.53559099999999	-73.619412
2	45.53967900000002	-73.613736
3	45.54320300000001	-73.628372
4	45.546626	-73.60806499999998
5	45.56271499999998	-73.601534
6	45.53700600000001	-73.627324
7	45.527015999999996	-73.623359
8	45.552744000000004	-73.602534
9	45.535672	-73.619887
10	45.534344999999995	-73.62997
11	45.53662300000002	-73.630431
12	45.577783000000004	-73.614384
13	45.574951	-73.642119
14	45.54122999999999	-73.63019200000001
15	45.56954700000003	-73.61946100000002
16	45.54084699999998	-73.63749100000001
